location_id,latitude,longitude,dist_road_m,dist_hospital_m,flood_risk
0,22.45,88.3,9.779330211647563,780.5976550429377,0.0
1,22.455,88.3,71.21134460011004,478.2469565902747,0.0
2,22.459999999999997,88.3,7.533107886996074,550.4094374919451,0.0
3,22.464999999999996,88.3,2.9109059279403606,963.7544185121271,0.0
4,22.469999999999995,88.3,10.250219328453927,801.2396655792337,0.0
5,22.474999999999994,88.3,0.0018552077282492216,788.4420917137388,0.0
6,22.479999999999993,88.3,7.556935992591459,1101.9121155742669,0.0
7,22.484999999999992,88.3,7.392390189950723,1524.810719788752,0.0
8,22.48999999999999,88.3,0.6020356410714682,1375.0020043646623,0.0
9,22.49499999999999,88.3,22.876648534107723,1251.7852554123451,0.0
10,22.49999999999999,88.3,32.17104461715924,1350.7794061021689,0.0
11,22.50499999999999,88.3,18.907221366182814,862.439701127733,0.0
12,22.509999999999987,88.3,1.5621073770186895,525.2772933472673,0.0
13,22.514999999999986,88.3,27.348316630253965,648.8051368076234,0.0
14,22.519999999999985,88.3,85.19462318480271,1085.771136745549,0.0
15,22.524999999999984,88.3,71.52659966252972,1596.799897944457,0.0
16,22.529999999999983,88.3,87.46658166371368,2066.73771219346,0.0
17,22.534999999999982,88.3,16.11920302564408,1613.455786348871,0.0
18,22.53999999999998,88.3,3.415233247552323,1244.1850040750637,0.0
19,22.54499999999998,88.3,148.73792305890848,1051.511356471931,0.0
20,22.54999999999998,88.3,232.03090680392808,1129.7256800806342,0.0
21,22.55499999999998,88.3,13.747142650093675,712.268200417812,0.0
22,22.559999999999977,88.3,0.5926072342610572,406.21892490080785,0.0
23,22.564999999999976,88.3,3.938701855335222,660.0203051626812,0.0
24,22.569999999999975,88.3,30.02079110810364,782.2127471502475,0.0
25,22.574999999999974,88.3,139.36159759880286,275.0546739765696,0.0
26,22.579999999999973,88.3,0.04319296693900567,390.35904438483885,0.0
27,22.584999999999972,88.3,41.66118140458525,372.0286456195417,0.0
28,22.58999999999997,88.3,23.168404209190424,583.9085849888063,0.0
29,22.59499999999997,88.3,3.8165409833570343,1075.3711058051338,0.0
30,22.59999999999997,88.3,110.79352383628627,1607.739956112934,0.0
31,22.60499999999997,88.3,53.05755232502591,1585.3031778274312,0.0
32,22.609999999999967,88.3,26.50642673864805,1031.9466106664813,0.0
33,22.614999999999966,88.3,171.43144238993727,479.13737580975163,0.0
34,22.619999999999965,88.3,20.28458368092361,84.63884302065031,0.0
35,22.624999999999964,88.3,80.7288890338093,630.6252843769689,0.0
36,22.629999999999963,88.3,17.038236733290294,1183.7006746977706,0.0
